ID,Source,ST,GPSC,Freq
ERR2212932,Blood,others,53,7
ERR2212919,Blood,2464,5,3
ERR2213077,Blood,2988,84,2
ERR2213060,Blood,5282,307,3
ERR1764050,Blood,12473,10,2
ERR1764048,Blood,others,307,2
95_STRE_BANG_1100196125,Blood,12888,84,13
ERR2212821,Blood,12891,53,6
ERR3331976,Blood,others,others,2
SPN_0359,Blood,others,84,3
ERR2212808,CSF,5282,307,3
ERR2212943,CSF,12891,53,2
ERR2213005,CSF,12894,10,2
ERR2212847,CSF,others,53,2
S341814,Ear,others,53,1
S101607,Ear,others,10,5
S100850,Ear,2464,5,9
SPN_0303,Ear,2988,84,2
S100712,Ear,12473,10,9
S101518,Ear,12888,84,17
S100411,Ear,12894,10,5
S100645,Ear,others,84,4
SPN_0323,Ear,X1,84,4
ERR3331931,NP,2464,5,6
S126_11_1,NP,2988,84,4
SPN_0151,NP,others,10,1
S90_03_1,NP,5282,others,1
S15_09_1,NP,others,84,5
S1070000007_RSV,NP,12473,10,7
ERR3332108,NP,12888,84,27
S60_08_1,NP,others,307,1
S105_08_1,NP,12891,53,2
S103_14_1,NP,others,others,7
S105_Sanofi,NP,X1,84,2
SPN_0154,Urine,12888,84,1
SPN_0156,Urine,others,others,2
